FIRST_NAME,FULL_NAME,LAST_NAME,PLAYER_ID
Earl,Earl Barron,Barron,2853
Dana,Dana Barros,Barros,344
Brent,Brent Barry,Barry,699
Drew,Drew Barry,Barry,1003
Jon,Jon Barry,Barry,468
Rick,Rick Barry,Barry,600013
Ed,Ed Bartels,Bartels,76117
Vic,Vic Bartolome,Bartolome,76118
Will,Will Barton,Barton,203115
Eddie,Eddie Basden,Basden,101188
Jerry,Jerry Baskerville,Baskerville,76119
Brandon,Brandon Bass,Bass,101138
Tim,Tim Bassett,Bassett,76120
Maceo,Maceo Baston,Baston,1766
Mengke,Mengke Bateer,Bateer,2370
Billyray,Billyray Bates,Bates,76121
Keita,Keita Bates-Diop,Bates-Diop,1628966
Esteban,Esteban Batista,Batista,101212
Mike,Mike Batiste,Batiste,2471
Tony,Tony Battie,Battie,1499
Shane,Shane Battier,Battier,2203
John,John Battle,Battle,174
Kenny,Kenny Battle,Battle,76123
Dave,Dave Batton,Batton,76124
Nicolas,Nicolas Batum,Batum,201587
Johnny,Johnny Baum,Baum,76125
Frankie,Frankie Baumholtz,Baumholtz,76126
Lonny,Lonny Baxter,Baxter,2437
Jerryd,Jerryd Bayless,Bayless,201573
Elgin,Elgin Baylor,Baylor,76127
Aron,Aron Baynes,Baynes,203382
Sergei,Sergei Bazarevich,Bazarevich,76128
Kent,Kent Bazemore,Bazemore,203145
Ed,Ed Beach,Beach,76129
Bradley,Bradley Beal,Beal,203078
Butch,Butch Beard,Beard,76130
Ralph,Ralph Beard,Beard,76131
Jerome,Jerome Beasley,Beasley,2602
Malik,Malik Beasley,Beasley,1627736
Michael,Michael Beasley,Beasley,201563
Zelmo,Zelmo Beaty,Beaty,76133
Rodrigue,Rodrigue Beaubois,Beaubois,201958
Byron,Byron Beck,Beck,76134
Corey,Corey Beck,Beck,1133
Ernie,Ernie Beck,Beck,76136
Moe,Moe Becker,Becker,76137
William,William Bedford,Bedford,76138
Hank,Hank Beenders,Beenders,76139
Ron,Ron Behagen,Behagen,76140
Elmer,Elmer Behnke,Behnke,76141
Marco,Marco Belinelli,Belinelli,201158
Charlie,Charlie Bell,Bell,2294
Dennis,Dennis Bell,Bell,76142
Jordan,Jordan Bell,Bell,1628395
Raja,Raja Bell,Bell,1952
Troy,Troy Bell,Bell,2559
William,William Bell,Bell,76143
Walt,Walt Bellamy,Bellamy,76144
DeAndre',DeAndre' Bembry,Bembry,1627761
Irv,Irv Bemoras,Bemoras,76145
Leon,Leon Benbow,Benbow,76146
Dragan,Dragan Bender,Bender,1627733
Jonathan,Jonathan Bender,Bender,1886
Jerrelle,Jerrelle Benimon,Benimon,203968
Benoit,Benoit Benjamin,Benjamin,104
Corey,Corey Benjamin,Benjamin,1736
Anthony,Anthony Bennett,Bennett,203461
Elmer,Elmer Bennett,Bennett,1120
Mario,Mario Bennett,Bennett,712
Mel,Mel Bennett,Bennett,76151
Tony,Tony Bennett,Bennett,76148
Winston,Winston Bennett,Bennett,76152
David,David Benoit,Benoit,128
Keith,Keith Benson,Benson,202728
Kent,Kent Benson,Benson,76154
Ben,Ben Bentil,Bentil,1627791
Gene,Gene Berce,Berce,76155
Gary,Gary Bergen,Bergen,76156
Ricky,Ricky Berry,Berry,76157
Walter,Walter Berry,Berry,76158
Joel,Joel Berry II,Berry II,1629137
Davis,Davis Bertans,Bertans,202722
Del,Del Beshore,Beshore,76159
Travis,Travis Best,Best,696
Patrick,Patrick Beverley,Beverley,201976
Sim,Sim Bhullar,Bhullar,204021
Al,Al Bianchi,Bianchi,76160
Hank,Hank Biasatti,Biasatti,76161
Henry,Henry Bibby,Bibby,76162
Mike,Mike Bibby,Bibby,1710
Ed,Ed Biedenbach,Biedenbach,76163
Andris,Andris Biedrins,Biedrins,2740
Don,Don Bielke,Bielke,76164
Bob,Bob Bigelow,Bigelow,76165
Chauncey,Chauncey Billups,Billups,1497
Dave,Dave Bing,Bing,76166
Joe,Joe Binion,Binion,76167
Khem,Khem Birch,Birch,203920
Jabari,Jabari Bird,Bird,1628444
Jerry,Jerry Bird,Bird,76168
Larry,Larry Bird,Bird,1449
Otis,Otis Birdsong,Birdsong,76170
Gale,Gale Bishop,Bishop,76171
Bismack,Bismack Biyombo,Biyombo,202687
Nemanja,Nemanja Bjelica,Bjelica,202357
Uwe,Uwe Blab,Blab,76172
Charlie,Charlie Black,Black,76173
Norman,Norman Black,Black,76174
Tarik,Tarik Black,Black,204028
Tom,Tom Black,Black,76175
Rolando,Rolando Blackman,Blackman,76176
Alex,Alex Blackwell,Blackwell,76180
Cory,Cory Blackwell,Blackwell,76177
James,James Blackwell,Blackwell,1806
Nate,Nate Blackwell,Blackwell,76179
DeJuan,DeJuan Blair,Blair,201971
Steve,Steve Blake,Blake,2581
Marqus,Marqus Blakely,Blakely,202392
Antonio,Antonio Blakeney,Blakeney,1628469
Will,Will Blalock,Blalock,200807
George,George Blaney,Blaney,76182
Lance,Lance Blanks,Blanks,76183
Ricky,Ricky Blanton,Blanton,76184
Andray,Andray Blatche,Blatche,101154
Mookie,Mookie Blaylock,Blaylock,302
Eric,Eric Bledsoe,Bledsoe,202339
Leon,Leon Blevins,Blevins,76186
John,John Block,Block,76187
Mike,Mike Bloom,Bloom,76188
Corie,Corie Blount,Blount,916
Mark,Mark Blount,Blount,1548
Vander,Vander Blue,Blue,203505
Trevon,Trevon Bluiett,Bluiett,1629129
Ray,Ray Blume,Blume,76189
Nelson,Nelson Bobb,Bobb,76190
Tony,Tony Bobbitt,Bobbitt,2800
Arlen,Arlen Bockhorn,Bockhorn,76191
Tom,Tom Boerwinkle,Boerwinkle,76192
Keith,Keith Bogans,Bogans,2586
Bogdan,Bogdan Bogdanovic,Bogdanovic,203992
Bojan,Bojan Bogdanovic,Bogdanovic,202711
Muggsy,Muggsy Bogues,Bogues,177
Andrew,Andrew Bogut,Bogut,101106
Etdrick,Etdrick Bohannon,Bohannon,1564
Manute,Manute Bol,Bol,76195
Jonah,Jonah Bolden,Bolden,1628413
Bill,Bill Bolger,Bolger,76196
Joel,Joel Bolomboy,Bolomboy,1627762
Doug,Doug Bolstorff,Bolstorff,76197
George H.,George H. Bon Salle,Bon Salle,76203
Phil,Phil Bond,Bond,76198
Walter,Walter Bond,Bond,1603
Dexter,Dexter Boney,Boney,1121
Isaac,Isaac Bonga,Bonga,1629067
Ron,Ron Bonham,Bonham,76201
Anthony,Anthony Bonner,Bonner,41
Matt,Matt Bonner,Bonner,2588
Devin,Devin Booker,Booker,1626164
Melvin,Melvin Booker,Booker,511
Trevor,Trevor Booker,Booker,202344
Josh,Josh Boone,Boone,200767
Ron,Ron Boone,Boone,76204
Calvin,Calvin Booth,Booth,1916
Keith,Keith Booth,Booth,1522
Bob,Bob Boozer,Boozer,76206
Carlos,Carlos Boozer,Boozer,2430
Curtis,Curtis Borchardt,Borchardt,2414
Jake,Jake Bornheimer,Bornheimer,76207
Lazaro,Lazaro Borrell,Borrell,1953
Costic,Costic Borsavage,Borsavage,76209
Vince,Vince Boryla,Boryla,76210
Chris,Chris Bosh,Bosh,2547
Jim,Jim Bostic,Bostic,76211
Lawrence,Lawrence Boston,Boston,76212
Tom,Tom Boswell,Boswell,76213
Chris,Chris Boucher,Boucher,1628449
Ruben,Ruben Boumtje-Boumtje,Boumtje-Boumtje,2257
Don,Don Boven,Boven,76214
Cal,Cal Bowdler,Bowdler,1898
Bruce,Bruce Bowen,Bowen,1477
Ryan,Ryan Bowen,Bowen,1763
Anthony,Anthony Bowie,Bowie,194
Sam,Sam Bowie,Bowie,76217
Ira,Ira Bowman,Bowman,1085
Nate,Nate Bowman,Bowman,76219
Donnie,Donnie Boyce,Boyce,671
Dennis,Dennis Boyd,Boyd,76221
Fred,Fred Boyd,Boyd,76222
Ken,Ken Boyd,Boyd,76223
Earl,Earl Boykins,Boykins,1863
Harry,Harry Boykoff,Boykoff,76224
Winford,Winford Boynes,Boynes,76225
Cedric,Cedric Bozeman,Bozeman,200841
Steve,Steve Bracey,Bracey,76226
Craig,Craig Brackins,Brackins,202342
Gary,Gary Bradds,Bradds,76227
Alex,Alex Bradley,Bradley,76228
Alonzo,Alonzo Bradley,Bradley,76229
Avery,Avery Bradley,Bradley,202340
Bill,Bill Bradley,Bradley,76233
Charles,Charles Bradley,Bradley,76230
Dudley,Dudley Bradley,Bradley,76231
Joe,Joe Bradley,Bradley,76232
Michael,Michael Bradley,Bradley,2214
Shawn,Shawn Bradley,Bradley,762
Tony,Tony Bradley,Bradley,1628396
Mark,Mark Bradtke,Bradtke,1361
Marques,Marques Bragg,Bragg,66
Torraye,Torraye Braggs,Braggs,1765
A.J.,A.J. Bramlett,Bramlett,1920
Adrian,Adrian Branch,Branch,76237
Elton,Elton Brand,Brand,1882
Terrell,Terrell Brandon,Brandon,210
Bob,Bob Brannum,Brannum,76238
Brad,Brad Branson,Branson,76239
Jesse,Jesse Branson,Branson,76240
Jim,Jim Brasco,Brasco,76241
Mike,Mike Bratz,Bratz,76242
Carl,Carl Braun,Braun,76243
Tim,Tim Breaux,Breaux,160
J.R.,J.R. Bremer,Bremer,2452
Pete,Pete Brennan,Brennan,76245
Tom,Tom Brennan,Brennan,76246
Randy,Randy Breuer,Breuer,76247
Corey,Corey Brewer,Brewer,201147
Jamison,Jamison Brewer,Brewer,2249
Jim,Jim Brewer,Brewer,76248
Ron,Ron Brewer,Brewer,76249
Ronnie,Ronnie Brewer,Brewer,200758
Primoz,Primoz Brezec,Brezec,2056
Frank,Frank Brian,Brian,76250
Frank,Frank Brickowski,Brickowski,783
Junior,Junior Bridgeman,Bridgeman,76252
Bill,Bill Bridges,Bridges,76253
Mikal,Mikal Bridges,Bridges,1628969
Miles,Miles Bridges,Bridges,1628970
Al,Al Brightman,Brightman,76254
Audley,Audley Brindley,Brindley,76255
Isaiah,Isaiah Briscoe,Briscoe,1628515
John,John Brisker,Brisker,76256
Allan,Allan Bristow,Bristow,76257
Tyrone,Tyrone Britt,Britt,76258
Wayman,Wayman Britt,Britt,76259
Mike,Mike Brittain,Brittain,76260
David,David Britton,Britton,76261
Jon,Jon Brockman,Brockman,201972
Ryan,Ryan Broekhoff,Broekhoff,1629151
Jim,Jim Brogan,Brogan,76262
