Unnamed: 0,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
460,201166,0,0,645,183.0,13440.0,2261,5478,0.41274099999999997,820.0,2218.0,0.369702,917,1095,0.837442,254.0,825.0,1079.0,1925,359.0,87.0,1000.0,1217,6259
461,1628415,0,0,100,74.0,2680.0,389,894,0.435123,109.0,304.0,0.358552,146,196,0.744897,58.0,230.0,288.0,151,83.0,21.0,143.0,283,1033
462,76265,0,0,126,2.0,1031.0,172,429,0.400932,12.0,60.0,0.2,61,71,0.8591540000000001,40.0,101.0,141.0,48,18.0,6.0,69.0,84,417
463,202705,0,0,200,50.0,3456.0,613,1371,0.447118,109.0,316.0,0.344936,257,342,0.7514609999999999,132.0,292.0,424.0,282,120.0,42.0,248.0,269,1592
464,76266,0,0,319,196.0,9372.0,1673,3445,0.48563100000000003,5.0,33.0,0.151515,735,1029,0.7142850000000001,826.0,1175.0,2001.0,818,387.0,124.0,638.0,981,4086
465,418,0,0,680,7.0,9233.0,1233,2738,0.45032799999999995,287.0,771.0,0.372243,564,664,0.849397,158.0,527.0,685.0,1608,480.0,30.0,451.0,828,3317
466,2810,0,0,75,1.0,599.0,82,159,0.5157229999999999,0.0,1.0,0.0,33,66,0.5,70.0,108.0,178.0,11,14.0,8.0,48.0,73,197
467,1626148,0,0,41,11.0,761.0,58,177,0.327683,28.0,98.0,0.28571399999999997,17,20,0.85,17.0,86.0,103.0,28,19.0,6.0,21.0,49,161
468,76284,0,0,82,0.0,0.0,313,875,0.357714,0.0,0.0,0.0,206,299,0.688963,0.0,0.0,0.0,115,0.0,0.0,0.0,336,832
469,201628,0,0,158,2.0,1689.0,271,715,0.37901999999999997,96.0,303.0,0.316831,50,62,0.806451,23.0,80.0,103.0,230,41.0,4.0,123.0,148,688
470,1628971,0,0,36,19.0,720.0,72,181,0.39779000000000003,14.0,53.0,0.26415,29,37,0.783783,30.0,70.0,100.0,49,20.0,18.0,26.0,96,187
471,359,0,0,694,265.0,11960.0,1712,3487,0.49096599999999996,22.0,97.0,0.226804,679,972,0.698559,665.0,1483.0,2148.0,549,228.0,216.0,537.0,1177,4125
472,2245,0,0,39,3.0,349.0,43,128,0.335937,4.0,14.0,0.28571399999999997,18,27,0.666666,18.0,34.0,52.0,19,5.0,7.0,31.0,44,108
473,76270,0,0,3,0.0,0.0,2,6,0.333333,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,4
474,244,0,0,608,267.0,16845.0,2540,5822,0.436276,605.0,1697.0,0.356511,1073,1300,0.825384,319.0,1250.0,1569.0,2227,800.0,205.0,905.0,1264,6758
475,200793,0,0,68,11.0,711.0,50,147,0.340136,13.0,52.0,0.25,27,42,0.642857,15.0,54.0,69.0,119,32.0,7.0,48.0,79,140
476,201974,0,0,171,18.0,2554.0,354,687,0.515283,13.0,41.0,0.317073,174,273,0.637362,167.0,246.0,413.0,119,89.0,32.0,109.0,208,895
477,2484,0,0,465,127.0,9020.0,1174,2927,0.401093,300.0,888.0,0.337837,704,907,0.776185,336.0,952.0,1288.0,679,263.0,58.0,505.0,747,3352
478,2081,0,0,3,0.0,21.0,1,6,0.166666,0.0,0.0,0.0,1,4,0.25,1.0,5.0,6.0,0,0.0,1.0,3.0,4,3
479,76272,0,0,963,4.0,24422.0,6006,12568,0.47788,110.0,295.0,0.3728813559322034,1896,2211,0.8575299999999999,681.0,1601.0,2637.0,3160,1149.0,166.0,840.0,1937,14018
480,76273,0,0,1,0.0,6.0,0,2,0.0,0.0,0.0,0.0,1,2,0.5,0.0,1.0,1.0,0,0.0,0.0,0.0,1,1
481,1871,0,0,33,0.0,236.0,33,89,0.370786,3.0,10.0,0.3,11,14,0.785714,5.0,17.0,22.0,31,5.0,1.0,22.0,21,80
482,76275,0,0,54,0.0,0.0,95,383,0.24804099999999998,0.0,0.0,0.0,74,117,0.632478,0.0,0.0,0.0,39,0.0,0.0,0.0,122,264
483,203913,0,0,19,5.0,568.0,70,170,0.411764,23.0,62.0,0.370967,64,85,0.752941,3.0,33.0,36.0,40,12.0,2.0,32.0,33,227
484,1627759,0,0,187,112.0,4515.0,746,1634,0.45654799999999995,210.0,581.0,0.36144499999999996,304,463,0.656587,151.0,578.0,729.0,234,137.0,67.0,248.0,430,2006
485,76276,0,0,486,0.0,10108.0,1348,2979,0.4525,0.0,0.0,0.0,918,1172,0.783276,824.0,1302.0,2126.0,703,250.0,76.0,234.0,1449,3614
486,2208,0,0,143,36.0,1937.0,203,501,0.40518899999999997,46.0,168.0,0.273809,57,89,0.6404489999999999,98.0,249.0,347.0,103,85.0,28.0,64.0,170,509
487,2198,0,0,607,281.0,13392.0,1518,3088,0.49158,1.0,9.0,0.11111099999999999,998,1750,0.570285,1085.0,2248.0,3333.0,554,324.0,376.0,771.0,1385,4035
488,76278,0,0,5,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0
489,76279,0,0,2,0.0,5.0,0,3,0.0,0.0,0.0,0.0,2,5,0.4,1.0,1.0,2.0,0,0.0,0.0,1.0,2,2
490,203485,0,0,103,7.0,1184.0,123,338,0.36390500000000003,18.0,106.0,0.169811,29,41,0.707317,28.0,123.0,151.0,183,61.0,15.0,74.0,101,293
491,992,0,0,27,0.0,227.0,32,84,0.380952,13.0,39.0,0.333333,15,21,0.7142850000000001,7.0,15.0,22.0,23,8.0,2.0,16.0,34,92
492,203900,0,0,113,35.0,1795.0,205,539,0.380333,56.0,190.0,0.294736,118,151,0.781456,40.0,194.0,234.0,132,69.0,27.0,83.0,157,584
493,1479,0,0,626,112.0,10960.0,1126,2476,0.454765,1.0,8.0,0.125,877,1271,0.6900069999999999,934.0,1828.0,2762.0,424,253.0,169.0,643.0,1372,3130
494,76277,0,0,4,0.0,23.0,4,6,0.666666,1.0,3.0,0.333333,0,0,0.0,0.0,3.0,3.0,6,1.0,0.0,4.0,2,9
495,136,0,0,1089,990.0,33828.0,3852,8365,0.46048999999999995,8.0,59.0,0.13559300000000002,2158,2718,0.793966,3002.0,5407.0,8409.0,1661,912.0,1116.0,1342.0,3218,9870
496,753,0,0,655,169.0,11534.0,1275,3055,0.41734799999999994,24.0,120.0,0.2,574,831,0.690734,326.0,847.0,1173.0,1420,722.0,156.0,725.0,1263,3148
497,76282,0,0,16,0.0,56.0,8,28,0.28571399999999997,0.0,0.0,0.0,0,2,0.0,10.0,5.0,15.0,4,0.0,0.0,6.0,11,16
498,76283,0,0,340,28.0,4487.0,614,1322,0.464447,0.0,3.0,0.0,254,381,0.666666,422.0,778.0,1200.0,119,95.0,114.0,301.0,796,1482
499,76286,0,0,77,0.0,818.0,51,131,0.389312,0.0,0.0,0.0,33,47,0.7021270000000001,80.0,150.0,230.0,25,21.0,46.0,0.0,149,135
500,200769,0,0,408,60.0,7329.0,1198,2854,0.41976099999999994,276.0,831.0,0.332129,446,553,0.806509,177.0,583.0,760.0,458,284.0,90.0,378.0,538,3118
501,76285,0,0,34,0.0,141.0,41,134,0.30596999999999996,0.0,0.0,0.0,22,37,0.594594,0.0,17.0,17.0,10,0.0,0.0,0.0,48,104
