STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
795,201621,0,0,2,0,23,3,10,0.3,1,4,0.25,2,2,1,1,3,4,1,1,0,0,2,9
796,202348,0,0,281,99,6843,1286,3130,0.410862,330,1041,0.317002,530,642,0.825545,153,550,703,883,196,23,529,437,3432
797,76468,0,0,32,0,172,12,43,0.279069,0,0,0,7,16,0.4375,13,32,45,4,2,9,0,23,31
798,76469,0,0,3,0,4,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0
799,76470,0,0,4,0,0,2,6,0.333333,0,0,0,2,2,1,0,0,0,0,0,0,0,6,6
800,2343,0,0,21,0,154,26,68,0.382352,15,39,0.384615,12,13,0.923076,2,9,11,26,5,0,10,10,79
801,76471,0,0,418,22,8960,1315,3045,0.431855,19,106,0.179245283018868,885,1065,0.830985,130,462,592,1335,366,21,640,589,3534
802,76472,0,0,31,0,264,34,71,0.478873,0,0,0,19,25,0.76,28,37,65,15,5,8,26,43,87
803,201159,0,0,113,10,1852,229,518,0.442084,12,52,0.230769,125,196,0.637755,84,192,276,201,59,8,137,148,595
804,76473,0,0,154,0,1559,444,1407,0.315565,0,0,0,464,657,0.70624,0,215,215,205,0,0,0,557,1352
805,76474,0,0,82,1,495,40,108,0.37037,0,0,0,19,43,0.44186,47,92,139,28,10,23,43,91,99
806,76475,0,0,4,0,28,2,4,0.5,0,0,0,2,2,1,0,1,1,7,0,0,5,4,6
807,1506,0,0,659,88,11479,1491,3659,0.407488,429,1262,0.339936,1064,1236,0.860841,700,1949,2649,627,245,216,656,1094,4475
808,76476,0,0,21,0,128,6,24,0.25,0,0,0,14,25,0.56,9,21,30,1,2,3,6,38,26
809,76477,0,0,182,0,3775,403,934,0.431477,0,0,0,251,361,0.69529,0,1519,1519,187,0,0,0,376,1057
810,76478,0,0,45,0,354,64,112,0.571428,0,0,0,38,91,0.417582,35,47,82,22,12,7,19,58,166
811,76479,0,0,147,0,0,288,907,0.31753,0,0,0,118,166,0.710843,0,0,0,223,0,0,0,220,694
812,180,0,0,477,6,5796,625,1449,0.431331,144,375,0.384,509,608,0.837171,136,366,502,999,181,20,428,597,1903
813,76481,0,0,15,0,154,35,80,0.4375,0,0,0,14,20,0.7,14,13,27,8,5,1,12,24,84
814,76482,0,0,58,0,357,45,122,0.368852,13,34,0.382352,17,24,0.708333,17,27,44,18,8,2,15,36,120
