FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR,GAME_ID,PLAYER_ID
Michael Jordan,Starter,SF,22:00,4-13,0-0,0-0,4.8,0,4,4,3,1,2,1,0,8,2002,51,893
Allen Iverson,Starter,PG,25:00,2-9,0-0,1-2,1.8,1,3,4,3,0,0,2,0,5,2002,51,947
Shareef Abdur-Rahim,Bench,SF,21:00,4-4,1-1,0-0,9.8,1,5,6,0,2,0,0,0,9,2002,51,949
Ray Allen,Bench,SG,25:00,6-17,3-10,0-0,10.2,1,2,3,5,3,3,1,0,15,2002,51,951
Antoine Walker,Starter,PF,16:00,2-10,0-0,2-4,0,0,2,2,1,1,1,2,0,8,2002,51,952
Steve Nash,Bench,PG,24:00,3-9,2-4,0-0,13.5,2,1,3,9,1,1,0,0,8,2002,51,959
Kobe Bryant,Starter,SG,30:00,12-25,0-4,7-7,18.9,2,3,5,5,2,1,0,0,31,2002,51,977
Peja Stojakovic,Bench,SF,18:00,4-10,3-5,0-0,6.5,2,0,2,1,0,0,0,0,11,2002,51,978
Jermaine O'Neal,Bench,PF,17:00,3-4,2-5,0-0,7.8,0,7,7,0,1,0,1,0,7,2002,51,979
Tim Duncan,Starter,C,29:00,7-11,0-0,0-0,17.5,3,11,14,2,1,0,3,2,14,2002,51,1495
Tracy McGrady,Bench,SG,23:00,9-15,2-4,4-4,19.5,2,1,3,4,1,3,1,0,24,2002,51,1503
Dirk Nowitzki,Bench,PF,24:00,5-11,1-4,1-1,10.4,2,6,8,3,1,0,2,0,12,2002,51,1717
Paul Pierce,Bench,SF,23:00,9-18,1-6,0-0,15,3,4,7,3,1,1,0,0,19,2002,51,1718
Elton Brand,Bench,PF,19:00,3-5,0-0,0-0,10,5,5,10,1,2,0,2,1,6,2002,51,1882
Steve Francis,Starter,PG,18:00,1-8,0-1,1-2,0.5,1,1,2,3,1,2,2,0,3,2002,51,1883
Baron Davis,Bench,PG,13:00,1-4,0-2,0-0,1.2,0,1,1,5,1,0,3,0,2,2002,51,1884
Wally Szczerbiak,Bench,SG,12:00,4-6,2-3,0-0,12,1,2,3,3,0,1,0,0,10,2002,51,1887
Gary Payton,Bench,PG,15:00,4-6,0-1,0-0,2,1,0,1,2,3,0,3,0,8,2003,52,56
Shaquille O'Neal,Bench,C,26:00,8-14,0-0,3-5,16.6,3,10,13,1,3,2,3,1,19,2003,52,406
Jason Kidd,Bench,PG,33:00,4-9,1-4,2-2,20.5,1,4,5,10,0,5,2,0,11,2003,52,467
Jamal Mashburn,Bench,SF,14:00,4-7,2-2,0-0,11.8,0,4,4,2,0,2,0,0,10,2003,52,469
Kevin Garnett,Starter,SF,41:00,17-24,0-0,3-3,28.4,1,8,9,3,3,5,4,1,37,2003,52,708
Michael Jordan,Starter,SF,36:00,9-27,0-2,2-2,3.8,2,3,5,2,3,2,2,0,20,2003,52,893
Allen Iverson,Starter,PG,41:00,13-23,1-3,8-9,23.9,3,2,5,7,2,5,6,0,35,2003,52,947
Stephon Marbury,Bench,PG,15:00,1-3,0-2,2-2,5.8,0,1,1,6,0,0,2,0,4,2003,52,950
Antoine Walker,Bench,PF,09:00,2-4,1-3,1-2,2,0,1,1,0,0,0,1,0,6,2003,52,952
Steve Nash,Bench,PG,16:00,1-3,0-2,0-1,3.1,2,3,5,3,1,1,4,0,2,2003,52,959
Kobe Bryant,Starter,SG,36:00,8-17,3-5,3-6,16.2,2,5,7,6,5,3,5,2,22,2003,52,977
Peja Stojakovic,Bench,SF,13:00,2-7,1-4,0-0,3,0,3,3,1,0,1,1,0,5,2003,52,978
Jermaine O'Neal,Starter,PF,33:00,3-10,0-0,4-6,11.8,4,6,10,0,2,2,2,4,10,2003,52,979
Zydrunas Ilgauskas,Bench,C,04:00,0-1,0-0,0-0,-2.2,0,0,0,0,1,0,1,0,0,2003,52,980
Ben Wallace,Starter,C,24:00,1-2,0-0,0-2,6.8,4,2,6,0,1,2,2,2,2,2003,52,1112
Tim Duncan,Starter,PF,40:00,8-18,0-0,3-3,17.9,5,10,15,4,2,1,3,0,19,2003,52,1495
Tracy McGrady,Starter,SG,36:00,10-17,4-7,5-6,17.5,1,4,5,2,3,0,1,0,29,2003,52,1503
Vince Carter,Bench,SG,25:00,4-9,1-1,0-0,3.8,1,0,1,2,1,0,1,0,9,2003,52,1713
Dirk Nowitzki,Bench,PF,16:00,4-8,1-4,0-0,2.2,0,1,1,1,1,0,2,0,9,2003,52,1717
Paul Pierce,Bench,SF,18:00,4-11,0-5,0-0,5.8,0,2,2,3,1,4,2,0,8,2003,52,1718
Brad Miller,Bench,C,17:00,2-4,0-0,1-2,6.5,3,3,6,3,2,0,2,0,5,2003,52,1802
Steve Francis,Starter,PG,32:00,9-12,2-3,0-0,18.2,1,1,2,9,1,0,3,0,20,2003,52,1883
Shawn Marion,Bench,SF,23:00,4-9,0-1,0-0,15.2,5,2,7,4,1,3,0,1,8,2003,52,1890
Yao Ming,Starter,PF,17:00,1-1,0-0,0-0,2.2,0,2,2,0,1,0,0,0,2,2003,52,2397
Sam Cassell,Bench,PG,13:00,2-3,0-0,0-0,9.5,0,1,1,7,0,1,1,0,4,2004,53,208
Shaquille O'Neal,Bench,C,24:00,12-19,0-0,0-1,18.4,5,6,11,1,3,2,4,2,24,2004,53,406
Jason Kidd,Bench,PG,22:00,4-6,3-4,3-4,18.8,0,3,3,10,1,2,3,0,14,2004,53,467
Kevin Garnett,Starter,SF,29:00,6-14,0-1,0-0,15.5,3,4,7,6,0,2,1,1,12,2004,53,708
Allen Iverson,Starter,PG,23:00,1-6,0-0,1-4,3.2,0,1,1,11,3,0,4,0,3,2004,53,947
Ray Allen,Bench,SG,23:00,6-13,1-4,3-4,8.5,2,1,3,4,2,1,3,0,16,2004,53,951
Kobe Bryant,Starter,SG,36:00,9-12,2-3,0-1,16.4,1,3,4,4,3,5,6,1,20,2004,53,977
Peja Stojakovic,Bench,SF,13:00,2-5,1-4,0-0,1,0,1,1,1,0,0,2,0,5,2004,53,978
Jermaine O'Neal,Starter,PF,28:00,7-13,0-0,2-4,13,2,7,9,2,0,1,2,0,16,2004,53,979
Ben Wallace,Starter,C,23:00,2-5,0-1,0-0,10,2,5,7,0,0,3,0,1,4,2004,53,1112
Tim Duncan,Starter,PF,26:00,6-11,0-0,2-4,17.5,2,11,13,5,2,1,2,0,14,2004,53,1495
Tracy McGrady,Starter,SG,23:00,5-11,1-6,2-4,8.5,1,3,4,3,0,0,1,0,13,2004,53,1503
Vince Carter,Starter,SF,16:00,5-7,1-3,0-0,7,1,1,2,0,1,2,2,0,11,2004,53,1713
Dirk Nowitzki,Bench,PF,13:00,1-3,0-1,0-0,0.8,0,0,0,1,0,2,2,0,2,2004,53,1717
Paul Pierce,Bench,SF,13:00,4-8,0-1,0-0,3.8,0,1,1,2,2,1,1,0,8,2004,53,1718
Brad Miller,Bench,C,10:00,4-5,0-0,0-0,4.8,1,2,3,0,0,0,2,0,8,2004,53,1802
Steve Francis,Starter,PG,23:00,6-9,1-2,0-0,12,1,3,4,4,1,0,1,0,13,2004,53,1883
Baron Davis,Bench,PG,16:00,3-9,1-6,0-0,7.2,0,0,0,7,0,1,1,0,7,2004,53,1884
Metta World Peace,Bench,SF,17:00,3-5,0-1,1-2,7,1,2,3,3,2,1,1,0,7,2004,53,1897
Andrei Kirilenko,Bench,SF,12:00,1-3,0-1,0-0,1.5,0,1,1,0,0,0,0,1,2,2004,53,1905
Kenyon Martin,Bench,PF,23:00,8-10,0-0,1-2,14.5,4,3,7,3,1,0,3,0,17,2004,53,2030
Jamaal Magloire,Bench,C,21:00,9-16,0-0,1-2,13,3,5,8,0,2,1,1,1,19,2004,53,2048
Michael Redd,Bench,SG,15:00,5-12,3-6,0-0,10.8,2,1,3,2,0,3,1,0,13,2004,53,2072
Yao Ming,Starter,C,18:00,8-14,0-2,0-0,9,2,2,4,1,2,0,0,0,16,2004,53,2397
Grant Hill,Starter,PF,17:00,3-6,0-0,0-0,5.5,1,2,3,2,1,1,1,0,6,2005,54,255
Shaquille O'Neal,Starter,C,26:00,6-11,0-1,0-3,13.1,0,6,6,1,2,3,0,3,12,2005,54,406
Kevin Garnett,Starter,PF,16:00,5-8,0-0,0-1,4.9,0,3,3,2,2,0,2,0,10,2005,54,708
Allen Iverson,Starter,PG,32:00,4-13,0-0,7-7,12.6,0,4,4,9,0,5,7,0,15,2005,54,947
Ray Allen,Bench,SG,22:00,6-16,5-11,0-0,7,0,4,4,1,2,0,1,0,17,2005,54,951
Steve Nash,Bench,PG,18:00,1-2,0-1,0-0,3.5,0,0,0,6,0,0,3,0,2,2005,54,959
Kobe Bryant,Starter,SG,29:00,7-14,2-5,0-0,15.2,3,3,6,7,5,3,4,1,16,2005,54,977
Jermaine O'Neal,Bench,C,19:00,6-10,0-0,3-4,11.5,1,4,5,1,1,1,1,1,15,2005,54,979
Zydrunas Ilgauskas,Bench,C,17:00,5-8,0-0,2-2,12.2,3,4,7,1,2,0,1,2,12,2005,54,980
Ben Wallace,Bench,C,14:00,3-7,0-0,0-0,4,4,3,7,0,2,0,2,0,6,2005,54,1112
Tim Duncan,Starter,PF,17:00,7-10,1-1,0-1,14.4,2,7,9,2,0,0,2,0,15,2005,54,1495
Tracy McGrady,Starter,PG,24:00,4-13,0-4,0-0,8.8,1,4,5,5,1,3,3,2,8,2005,54,1503
Antawn Jamison,Bench,SF,13:00,2-5,1-1,0-0,5.5,1,3,4,1,0,0,0,0,5,2005,54,1712
Vince Carter,Starter,SF,18:00,4-8,3-5,0-0,6.2,0,3,3,1,0,0,2,0,11,2005,54,1713
Dirk Nowitzki,Bench,PF,21:00,4-10,1-3,1-2,14.2,3,4,7,2,1,4,3,4,10,2005,54,1717
Paul Pierce,Bench,SF,15:00,4-7,0-2,1-1,9.6,0,3,3,3,2,2,0,0,9,2005,54,1718
Rashard Lewis,Bench,SF,14:00,1-7,0-2,0-0,0,1,3,4,1,2,1,1,0,2,2005,54,1740
Shawn Marion,Bench,SF,16:00,5-7,0-0,0-1,10.4,3,0,3,4,0,0,1,0,10,2005,54,1890
Manu Ginobili,Bench,SG,22:00,3-6,0-2,2-2,4,2,1,3,1,3,1,3,1,8,2005,54,1938
Gilbert Arenas,Bench,PG,14:00,3-11,1-3,0-0,2,1,1,2,2,1,0,0,0,7,2005,54,2240
Yao Ming,Starter,C,21:00,5-9,0-0,1-2,14.8,3,5,8,5,1,0,1,1,11,2005,54,2397
Amar'e Stoudemire,Bench,PF,20:00,3-11,0-0,0-2,5.8,4,5,9,2,2,1,1,0,6,2005,54,2405
LeBron James,Starter,SG,31:00,6-13,1-4,0-1,14.1,1,7,8,6,0,2,3,0,13,2005,54,2544
Dwyane Wade,Bench,SG,24:00,6-13,0-1,2-2,8.2,2,1,3,1,2,2,1,1,14,2005,54,2548
Shaquille O'Neal,Starter,C,23:00,7-9,0-0,3-5,16.4,3,6,9,4,5,1,2,0,17,2006,55,406
Kevin Garnett,Bench,SF,17:00,1-9,0-0,0-0,5,2,7,9,4,1,1,2,0,2,2006,55,708
Rasheed Wallace,Bench,PF,17:00,1-6,0-4,0-0,-0.5,0,2,2,0,1,1,0,0,2,2006,55,739
Allen Iverson,Starter,PG,26:00,5-14,0-0,2-4,0.5,0,2,2,2,0,0,3,0,12,2006,55,947
Ray Allen,Bench,SG,18:00,4-13,0-7,0-0,-1.2,0,2,2,1,2,0,1,0,8,2006,55,951
Steve Nash,Starter,PG,28:00,1-2,0-0,0-0,8.5,1,4,5,6,2,1,2,0,2,2006,55,959
Kobe Bryant,Starter,SG,26:00,4-11,0-5,0-0,10.5,0,7,7,8,5,3,3,0,8,2006,55,977
Ben Wallace,Bench,C,24:00,0-1,0-0,0-2,10,0,8,8,2,3,3,0,2,0,2006,55,1112
Tim Duncan,Starter,PF,21:00,6-7,0-0,3-3,14.6,6,4,10,1,2,1,5,1,15,2006,55,1495
Chauncey Billups,Bench,PG,16:00,6-10,2-5,1-1,14.6,0,4,4,7,1,0,2,0,15,2006,55,1497
Tracy McGrady,Starter,SF,27:00,15-26,4-10,2-7,15.4,0,0,0,2,1,1,1,0,36,2006,55,1503
Vince Carter,Starter,SG,18:00,2-5,0-0,1-2,3.2,1,3,4,2,3,1,2,0,5,2006,55,1713
Dirk Nowitzki,Bench,PF,16:00,4-8,0-3,2-3,7.1,3,3,6,0,2,0,0,0,10,2006,55,1717
Paul Pierce,Bench,SF,15:00,3-6,0-0,1-2,5.2,0,2,2,1,0,1,0,0,7,2006,55,1718
Elton Brand,Bench,PF,17:00,6-11,0-0,0-0,6.8,3,4,7,0,2,1,3,0,12,2006,55,1882
Richard Hamilton,Bench,SG,13:00,3-7,0-0,0-0,0.2,0,0,0,1,1,0,1,0,6,2006,55,1888
Shawn Marion,Bench,SF,17:00,5-9,0-0,4-7,13.1,4,4,8,0,1,1,0,1,14,2006,55,1890
Pau Gasol,Bench,PF,14:00,0-3,0-0,0-0,7.8,6,6,12,1,1,0,1,0,0,2006,55,2200
Tony Parker,Bench,PG,20:00,3-8,0-1,2-2,-0.2,0,0,0,4,1,0,5,0,8,2006,55,2225
Gilbert Arenas,Bench,PG,10:00,0-4,0-2,1-2,-2.2,0,0,0,1,1,1,1,0,1,2006,55,2240
Yao Ming,Starter,C,19:00,2-5,0-0,1-2,3,0,2,2,1,2,1,0,0,5,2006,55,2397
LeBron James,Starter,PF,31:00,12-21,4-10,1-5,18.4,2,4,6,2,2,2,1,0,29,2006,55,2544
Chris Bosh,Bench,PF,16:00,3-7,0-0,2-3,8.6,2,6,8,2,1,0,1,0,8,2006,55,2547
Dwyane Wade,Starter,SG,31:00,9-11,0-0,2-2,17.2,3,1,4,3,1,2,3,1,20,2006,55,2548
Shaquille O'Neal,Starter,C,17:00,5-13,0-0,0-0,6.2,4,2,6,1,1,0,1,1,10,2007,56,406
Kevin Garnett,Starter,SF,14:00,3-8,0-0,1-2,8.2,4,2,6,4,1,1,2,0,7,2007,56,708
Ray Allen,Bench,SG,21:00,4-10,4-7,0-0,8.2,0,1,1,3,0,1,1,0,12,2007,56,951
