RK,FULL_NAME,TWITTER_ACC
177,Antoine Carr\carran01,AntoineCarr55
178,Phillip Carr\carrph01,PhilippeChow_
179,DeMarre Carroll\carrode01,DeMarreCarroll1
180,Vince Carter\cartevi01,mrvincecarter15
181,Wendell Carter\cartewe01,wendellcarter34
182,Michael Carter-Williams\cartemi01,MCW1
183,Omri Casspi\casspom01,Casspi18
184,Willie Cauley-Stein\caulewi01,THEwillieCS15
185,Troy Caupain\caupatr01,caupain10
186,Tyler Cavanaugh\cavanty01,tycav34
187,Cedric Ceballos\cebalce01,cedceballos
188,Mario Chalmers\chalmma01,mchalmers15
189,Tyson Chandler\chandty01,tysonchandler
190,Wilson Chandler\chandwi01,wilsonchandler
191,Joe Chealey\chealjo01,joe_chealey
192,Josh Childress\childjo01,JChillin
193,Chris Chiozza\chiozch01,Chiozza11
194,Marquese Chriss\chrisma01,quese
195,Dionte Christmas\chrisdi01,Dchristmas22
196,Rakeem Christmas\chrisra01,R_Xmas25
197,Semaj Christon\chrisse01,SemajChriston
198,Keith Clanton\clantke01,Im_Keithclanton
199,Gary Clark\clarkga01,Gary11_Clark
200,Ian Clark\clarkia01,IanClark
201,Jordan Clarkson\clarkjo01,JordanClarksons
202,Gian Clavell\clavegi01,clavelito04
203,Victor Claver\clavevi01,Victor_Claver
204,Speedy Claxton\claxtsp01,speeddeamon
205,Mateen Cleaves\cleavma01,Mateen_Cleaves
206,Antonius Cleveland\clevean01,ac_uno1
207,Jeff Coby\cobyje01,JC40A3
208,Derrick Coleman\colemde01,44TheLegend
209,Jarron Collins\collija03,jarronctwin
210,John Collins\collijo01,jcollins20_
211,Sherron Collins\collish01,SHERRONCOLLINS4
212,Zach Collins\colliza01,zcollins_33
213,Kyle Collinsworth\colliky01,bigrussia5
214,Darren Collison\collida01,Darren_Collison
215,Nick Collison\collini01,nickcollison4
216,Bonzie Colson\colsobo01,Bacolson35
217,Mike Conley\conlemi01,mconley11
218,Pat Connaughton\connapa01,PlanetPat5
219,Will Conroy\conrowi01,CHILLCONROY
220,Daequan Cook\cookda02,DC4Three
221,Quinn Cook\cookqu01,QCook323
222,Charles Cooke\cookech01,c4_cooke
223,Jack Cooley\cooleja01,JackCooligan45
224,Michael Cooper\coopemi01,ShowtimeCooper
225,Isaia Cordinier\cordiis01,izaycordinier
226,DeMarcus Cousins\couside01,boogiecousins
227,Robert Covington\covinro01,Holla_At_Rob33
228,Allen Crabbe\crabbal01,allencrabbe
229,Aaron Craft\craftaa01,ACraft4
230,Torrey Craig\craigto01,TCraig_23
231,Chris Crawford\crawfch02,clutchcrawford3
232,Drew Crawford\crawfan01,TheRealDrewski1
233,Jamal Crawford\crawfja01,JCrossover
234,Joe Crawford\crawfjo01,JoeCrawford5
235,Jordan Crawford\crawfjo02,jcraw55
236,Austin Croshere\croshau01,AustinCroshere
237,Jae Crowder\crowdja01,CJC9BOSS
238,Dante Cunningham\cunnida01,DlamarC33
239,Jared Cunningham\cunnija01,J1Flight
240,Eddy Curry\curryed01,Eddy_Curry
241,Seth Curry\curryse01,sdotcurry
242,Stephen Curry\curryst01,StephenCurry30
243,Nemanja Dangubic\dangune01,DangubicNemanja
244,DeAndre Daniels\daniede01,D_Daniels2
245,Marquis Daniels\daniema01,Marquis_Daniels
246,Troy Daniels\danietr01,troydaniels
247,Luigi Datome\datomlu01,GigiDatome
248,Anthony Davis\davisan02,AntDavis23
249,Baron Davis\davisba01,BaronDavis
250,Deyonta Davis\davisde01,deyontadavis23
251,Ed Davis\davised01,eddavisXVII
252,Glen Davis\davisgl01,iambigbaby11
253,Andre Dawkins\dawkian01,dre_dawkins
254,Austin Daye\dayeau01,Adaye5
255,Dewayne Dedmon\dedmode01,d_dedmon3
256,Sam Dekker\dekkesa01,dekker
257,Vinny Del Negro\delnevi01,VinnyDHoops
258,Malcolm Delaney\delanma01,foe23
259,Carlos Delfino\delfica01,cabezadelfino
260,Angel Delgado\delgaan01,AngelDelgado
261,Matthew Dellavedova\dellama01,matthewdelly
262,Luol Deng\denglu01,LuolDeng9
263,Marcus Denmon\denmoma01,MizzouMonster12
264,Stephen Dennis\dennist01,SDennis14
265,Demetrius Denzel-Dyson\denzede01,MRDYSON1022
266,DeMar DeRozan\derozde01,DeMar_DeRozan
267,Cheick Diallo\diallch01,cheick_diallo13
268,Hamidou Diallo\diallha01,hamidoudiallo
269,Boris Diaw\diawbo01,theborisdiaw
270,Gorgui Dieng\dienggo01,GorguiDieng
271,Dani Diez de la Faya\diezda01,danidiez11
272,Spencer Dinwiddie\dinwisp01,SDinwiddie_25
273,DeSagana Diop\diopde01,sagana7
274,Daniel Dixon\dixonda01,Mr_HeatCheck
275,Luka Doncic\doncilu01,luka7doncic
276,Tyler Dorsey\dorsety01,TDORSEY_1
277,Damyean Dotson\dotsoda01,staytuned21
278,Zabian Dowdell\dowdeza01,zayrd1
279,Milton Doyle\doylemi01,MDLU35
280,PJ Dozier\doziepj01,Dozier_Kid
281,Goran Dragic\dragigo01,Goran_Dragic
282,Andre Drummond\drumman01,AndreDrummond
283,Jared Dudley\dudleja01,JaredDudley619
284,Kris Dunn\dunnkr01,KrisDunn3
285,Ronald Dupree\duprero01,RDupree12
286,Kevin Durant\duranke01,KDTrey5
287,Trevon Duval\duvaltr01,DatGuy_Trey
288,Cleanthony Early\earlycl01,Clearly_BallLyf
289,Devin Ebanks\ebankde01,DevinEbanks3
290,Jarell Eddie\eddieja01,JarellEddie
291,Melvin Ejim\ejimme01,MelvinEjim
292,Henry Ellenson\ellenhe01,HenryEllenson13
293,Wayne Ellington\ellinwa01,WayneElli22
294,Joel Embiid\embiijo01,JoelEmbiid
295,Alex English\englial01,AlexEnglish_2
296,Kim English\engliki01,Englishscope24
297,James Ennis\ennisja01,JamesDa_Truth
298,Tyler Ennis\ennisty01,TylerEnnis
299,Julius Erving\ervinju01,JuliusErving
300,Drew Eubanks\eubandr01,DrewEubanks12
301,Jacob Evans\evansja02,JacobEvans_1
302,Jawun Evans\evansja01,j3vans1_
303,Jeremy Evans\evansje01,JeremyEvans40
304,Keenan Evans\evanske01,K3vans12
305,Reggie Evans\evansre01,ReggieEvans30
306,Tyreke Evans\evansty01,TyrekeEvans
307,Patrick Ewing\ewingpa02,pewingjr6
308,Dante Exum\exumda01,daanteee
309,Christian Eyenga\eyengch01,christeyenga31
310,Festus Ezeli\ezelife01,festus
311,Jarrid Famous\famouja01,MrFamous_CME
312,Kenneth Faried\farieke01,KennethFaried35
313,Derrick Favors\favorde01,dfavors14
314,Carrick Felix\felixca01,CarrickFelixIMC
315,Carrick Felix\felixca01,C_Felix0
316,Raymond Felton\feltora01,RFeltonGBMS
317,Terrance Ferguson\fergute01,the2kferguson
318,Rudy Fernandez\fernaru01,rudy5fernandez
319,Yogi Ferrell\ferreyo01,YogiFerrell11
320,Landry Fields\fieldla01,landryfields
321,Michael Finley\finlemi01,MichaelFinley
322,Dorian Finney-Smith\finnedo01,doefinney_10
323,Derek Fisher\fishede01,derekfisher
324,Bryn Forbes\forbebr01,BrynjForbes
325,T.J. Ford\fordtj01,tj_ford
326,Evan Fournier\fournev01,EvanFourmizz
327,De'Aaron Fox\foxde01,swipathefox
328,Randy Foye\foyera01,randyfoye
329,Adonal Foyle\foylead01,afoyle3131
330,Steve Francis\francst01,SteveFranchise3
331,Melvin Frazier\frazime01,melvinjrrr
332,Tim Frazier\fraziti01,Timfraz23
333,Walt Frazier\fraziwa01,WaltFrazier
334,Jimmer Fredette\fredeji01,jimmerfredette
335,Channing Frye\fryech01,Channing_Frye
336,Markelle Fultz\fultzma01,MarkelleF
337,Wenyen Gabriel\gabriwe01,WenyenGabriel
338,Dan Gadzuric\gadzuda01,DGadzuric
