,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
12,Terry Porter,Bench,SG,19:00,3-8,1-5,0-0,3.5,0.0,0,0,3,1,1,1,0,7,1993.0
1,Clyde Drexler,Starter,SF,28:00,10-15,2-4,0-0,24.0,2.0,7,9,6,2,0,1,2,22,1992.0
2,Karl Malone,Starter,PF,19:00,5-7,0-0,1-2,13.8,0.0,7,7,3,1,1,1,1,11,1992.0
3,Chris Mullin,Starter,SG,24:00,6-7,1-1,0-0,10.5,0.0,1,1,3,0,0,1,0,13,1992.0
4,David Robinson,Starter,C,18:00,7-9,0-0,5-8,17.8,1.0,4,5,2,3,3,0,1,19,1992.0
5,John Stockton,Starter,PG,18:00,5-8,2-3,0-0,10.8,0.0,1,1,5,2,3,3,0,12,1992.0
6,Tim Hardaway,Bench,PG,20:00,5-10,2-5,2-2,10.8,0.0,0,0,7,2,1,2,0,14,1992.0
7,Jeff Hornacek,Bench,SG,24:00,5-7,1-2,0-0,11.5,1.0,1,2,3,0,1,0,0,11,1992.0
8,Magic Johnson,Bench,PG,29:00,9-12,3-3,4-4,23.0,3.0,2,5,9,0,2,7,0,25,1992.0
9,Dan Majerle,Bench,SG,12:00,2-5,0-2,0-0,3.5,0.0,3,3,2,0,0,1,0,4,1992.0
10,Dikembe Mutombo,Bench,C,10:00,2-4,0-0,0-0,2.8,1.0,1,2,1,0,1,2,0,4,1992.0
11,Hakeem Olajuwon,Bench,C,20:00,3-6,0-0,1-2,5.2,0.0,4,4,2,3,2,3,1,7,1992.0
12,Otis Thorpe,Bench,PF,04:00,1-1,0-0,0-0,1.2,0.0,0,0,0,0,0,0,0,2,1992.0
13,James Worthy,Bench,PF,14:00,4-7,0-0,1-2,7.2,0.0,3,3,1,0,1,0,0,9,1992.0
1,Charles Barkley,Starter,PF,28:00,6-14,0-2,0-0,5.2,2.0,7,9,1,3,0,3,0,12,1992.0
2,Patrick Ewing,Starter,PF,17:00,4-7,0-0,2-5,5.9,2.0,2,4,0,3,2,2,1,10,1992.0
3,Michael Jordan,Starter,SG,31:00,9-17,0-0,0-0,11.2,1.0,0,1,5,2,2,1,0,18,1992.0
4,Scottie Pippen,Starter,SF,21:00,6-13,0-0,2-3,10.1,4.0,0,4,1,0,2,1,1,14,1992.0
5,Isiah Thomas,Starter,PG,28:00,7-14,1-3,0-0,10.2,0.0,1,1,5,0,3,3,0,15,1992.0
6,Michael Adams,Bench,PG,14:00,4-8,1-3,0-0,7.5,1.0,0,1,1,1,4,1,0,9,1992.0
7,Brad Daugherty,Bench,C,15:00,3-8,0-0,0-0,4.2,3.0,3,6,1,0,1,3,0,6,1992.0
8,Joe Dumars,Bench,SG,17:00,2-7,0-2,0-0,0.5,0.0,1,1,3,0,0,2,0,4,1992.0
9,Reggie Lewis,Bench,SF,15:00,3-7,0-0,1-2,5.5,4.0,0,4,2,3,0,1,1,7,1992.0
10,Mark Price,Bench,PG,15:00,1-5,0-3,4-4,1.2,0.0,0,0,3,1,1,3,0,6,1992.0
11,Dennis Rodman,Bench,PF,25:00,2-7,0-0,0-0,8.8,7.0,6,13,0,1,1,2,0,4,1992.0
12,Kevin Willis,Bench,C,14:00,4-10,0-0,0-0,4.0,4.0,0,4,0,1,0,0,0,8,1992.0
1,Kevin Johnson,Starter,SG,23:00,2-5,0-0,1-2,9.2,1.0,1,2,7,2,3,3,1,5,1991.0
2,Magic Johnson,Starter,PG,28:00,7-16,2-5,0-0,6.8,1.0,3,4,3,1,0,3,0,16,1991.0
3,Karl Malone,Starter,PF,31:00,6-11,0-0,4-6,17.2,4.0,7,11,4,1,1,3,1,16,1991.0
4,Chris Mullin,Starter,SF,24:00,4-8,1-1,4-4,8.0,0.0,2,2,2,2,2,2,0,13,1991.0
5,David Robinson,Starter,C,18:00,6-13,0-0,4-5,10.1,3.0,3,6,0,5,2,2,3,16,1991.0
6,Tom Chambers,Bench,C,18:00,4-11,0-1,0-0,-0.2,2.0,2,4,1,3,1,4,0,8,1991.0
7,Clyde Drexler,Bench,SF,19:00,4-9,0-0,4-4,9.8,2.0,2,4,2,3,1,0,1,12,1991.0
8,Kevin Duckworth,Bench,C,19:00,2-3,0-0,2-2,4.0,2.0,2,4,0,3,1,2,0,6,1991.0
9,Tim Hardaway,Bench,PG,12:00,2-7,1-2,0-0,8.0,2.0,1,3,4,1,2,0,0,5,1991.0
10,Terry Porter,Bench,PG,15:00,2-6,0-2,0-0,5.0,1.0,2,3,4,2,2,3,1,4,1991.0
11,John Stockton,Bench,PG,12:00,1-6,0-1,2-4,-0.2,0.0,1,1,2,2,0,0,0,4,1991.0
12,James Worthy,Bench,PF,21:00,3-11,0-0,3-4,2.8,0.0,2,2,0,2,2,0,1,9,1991.0
1,Charles Barkley,Starter,PF,35:00,7-15,0-0,3-6,22.5,8.0,14,22,4,5,1,3,1,17,1991.0
2,Joe Dumars,Starter,PG,15:00,1-4,0-1,0-0,-2.8,1.0,1,2,1,1,0,4,0,2,1991.0
3,Patrick Ewing,Starter,C,30:00,8-10,0-0,2-2,18.2,2.0,8,10,0,5,1,2,4,18,1991.0
4,Michael Jordan,Starter,SG,36:00,10-25,0-2,6-7,5.1,3.0,2,5,5,2,2,10,0,26,1991.0
5,Bernard King,Starter,SF,26:00,2-8,0-0,4-4,5.8,2.0,1,3,3,1,0,1,1,8,1991.0
6,Brad Daugherty,Bench,C,12:00,3-7,0-0,2-3,5.6,3.0,2,5,1,3,0,0,0,8,1991.0
7,Hersey Hawkins,Bench,SG,14:00,3-5,0-1,0-0,1.8,0.0,0,0,1,1,0,1,0,6,1991.0
8,Kevin McHale,Bench,PF,14:00,0-3,0-1,2-2,3.5,1.0,2,3,2,2,1,0,0,2,1991.0
9,Robert Parish,Bench,C,05:00,1-2,0-0,0-0,1.8,1.0,3,4,0,2,0,1,0,2,1991.0
10,Ricky Pierce,Bench,SG,19:00,4-8,0-0,1-1,3.1,0.0,2,2,2,2,0,2,0,9,1991.0
11,Alvin Robertson,Bench,SG,12:00,2-4,0-0,2-2,0.8,0.0,2,2,0,0,0,3,0,6,1991.0
12,Dominique Wilkins,Bench,SF,22:00,3-11,0-2,6-8,6.8,3.0,0,3,4,2,1,2,1,12,1991.0
1,A.C. Green,Starter,PF,12:00,0-3,0-0,0-0,0.5,0.0,3,3,1,1,0,1,1,0,1990.0
2,Magic Johnson,Starter,SG,25:00,9-15,4-6,0-0,17.0,1.0,5,6,4,1,0,3,1,22,1990.0
3,Hakeem Olajuwon,Starter,C,31:00,2-14,0-0,4-10,7.5,9.0,7,16,2,1,1,4,1,8,1990.0
4,John Stockton,Starter,PG,15:00,1-4,0-1,0-0,3.5,0.0,0,0,6,1,1,3,1,2,1990.0
5,James Worthy,Starter,SF,19:00,1-11,0-0,0-0,-3.0,3.0,1,4,0,1,1,1,0,2,1990.0
6,Rolando Blackman,Bench,SF,21:00,7-9,0-0,1-1,10.1,1.0,1,2,2,1,1,2,0,15,1990.0
7,Tom Chambers,Bench,PF,21:00,8-12,0-1,5-7,11.1,2.0,1,3,1,0,1,3,0,21,1990.0
8,Clyde Drexler,Bench,SF,19:00,2-6,1-1,2-2,8.2,4.0,0,4,2,1,1,1,1,7,1990.0
9,Kevin Johnson,Bench,PG,14:00,1-1,0-0,0-0,1.2,0.0,0,0,4,2,0,3,0,2,1990.0
10,Fat Lever,Bench,SG,22:00,7-13,0-2,2-2,11.8,0.0,3,3,2,0,2,0,0,16,1990.0
11,Chris Mullin,Bench,SG,16:00,1-5,0-0,1-2,4.0,1.0,2,3,1,0,2,1,1,3,1990.0
12,David Robinson,Bench,C,25:00,7-12,0-0,1-2,15.8,2.0,8,10,1,1,2,1,1,15,1990.0
1,Charles Barkley,Starter,PF,22:00,7-12,1-1,2-3,9.9,2.0,2,4,0,1,1,2,1,17,1990.0
2,Larry Bird,Starter,SF,23:00,3-8,0-1,2-2,10.2,2.0,6,8,3,1,3,3,0,8,1990.0
3,Patrick Ewing,Starter,C,27:00,5-9,0-0,2-2,11.8,1.0,9,10,1,5,1,5,5,12,1990.0
4,Michael Jordan,Starter,SG,29:00,8-17,1-1,0-0,10.8,1.0,4,5,2,1,5,5,1,17,1990.0
5,Isiah Thomas,Starter,PG,27:00,7-12,1-1,0-0,20.2,1.0,3,4,9,0,3,1,0,15,1990.0
6,Joe Dumars,Bench,SG,18:00,3-4,2-2,1-2,8.0,0.0,1,1,5,0,0,3,0,9,1990.0
7,Kevin McHale,Bench,PF,20:00,6-11,1-1,0-0,10.2,2.0,6,8,1,4,0,0,0,13,1990.0
8,Reggie Miller,Bench,SF,14:00,2-3,0-1,0-0,6.0,0.0,1,1,3,1,1,0,0,4,1990.0
9,Robert Parish,Bench,C,21:00,7-11,0-0,0-1,8.9,2.0,2,4,2,4,0,1,1,14,1990.0
10,Scottie Pippen,Bench,SF,12:00,2-4,0-1,0-0,2.2,0.0,1,1,0,1,1,1,1,4,1990.0
11,Dennis Rodman,Bench,PF,11:00,2-4,0-0,0-0,4.2,3.0,1,4,1,1,0,2,1,4,1990.0
12,Dominique Wilkins,Bench,SF,16:00,5-10,1-1,2-2,9.2,0.0,0,0,4,1,1,0,0,13,1990.0
1,Charles Barkley,Starter,PF,20:00,6-11,0-0,5-8,12.2,3.0,2,5,0,0,2,1,1,17,1989.0
2,Michael Jordan,Starter,SG,33:00,13-23,0-1,2-4,14.5,1.0,1,2,3,1,5,4,0,28,1989.0
3,Moses Malone,Starter,C,19:00,3-9,0-0,3-3,8.6,4.0,4,8,0,1,1,1,1,9,1989.0
4,Isiah Thomas,Starter,PG,33:00,7-13,1-3,4-6,19.8,1.0,1,2,14,2,4,6,0,19,1989.0
5,Dominique Wilkins,Starter,SF,15:00,3-8,0-0,3-3,4.6,1.0,1,2,0,0,3,2,0,9,1989.0
6,Terry Cummings,Bench,PF,19:00,4-9,0-0,2-2,9.8,2.0,3,5,1,4,3,0,1,10,1989.0
7,Brad Daugherty,Bench,C,15:00,0-3,0-0,0-0,0.5,2.0,1,3,0,0,1,1,0,0,1989.0
8,Patrick Ewing,Bench,C,17:00,2-8,0-0,0-4,2.2,1.0,5,6,2,2,1,3,2,4,1989.0
9,Mark Jackson,Bench,PG,16:00,3-5,1-1,2-4,9.0,1.0,1,2,4,1,1,2,1,9,1989.0
10,Kevin McHale,Bench,PF,16:00,5-7,0-0,0-0,6.8,1.0,2,3,0,3,0,1,2,10,1989.0
11,Larry Nance,Bench,C,17:00,5-9,0-0,0-0,11.0,3.0,3,6,1,1,1,0,1,10,1989.0
12,Mark Price,Bench,PG,20:00,3-9,1-4,2-2,4.0,1.0,2,3,1,2,2,2,0,9,1989.0
1,Dale Ellis,Starter,SF,26:00,12-16,1-1,2-2,18.5,3.0,3,6,2,2,0,2,0,27,1989.0
2,Alex English,Starter,SG,29:00,8-13,0-0,0-0,11.8,1.0,2,3,4,0,2,3,0,16,1989.0
3,Karl Malone,Starter,PF,26:00,12-17,0-0,4-6,22.2,4.0,5,9,3,3,2,2,0,28,1989.0
4,Hakeem Olajuwon,Starter,C,25:00,5-12,0-0,2-3,12.1,4.0,3,7,3,2,3,3,2,12,1989.0
5,John Stockton,Starter,PG,32:00,5-6,1-1,0-0,16.0,0.0,2,2,17,4,5,12,0,11,1989.0
6,Kareem Abdul-Jabbar,Bench,C,13:00,1-6,0-1,2-2,1.5,0.0,3,3,0,3,0,0,2,4,1989.0
7,Tom Chambers,Bench,PF,16:00,4-8,0-0,6-6,7.5,2.0,3,5,1,3,0,2,0,14,1989.0
8,Clyde Drexler,Bench,SF,25:00,7-19,0-0,0-0,8.8,6.0,6,12,4,3,2,6,0,14,1989.0
9,Kevin Duckworth,Bench,C,07:00,2-5,0-0,1-2,0.5,1.0,0,1,0,2,0,0,0,5,1989.0
10,Mark Eaton,Bench,C,09:00,0-0,0-0,0-0,5.2,0.0,5,5,0,1,0,0,2,0,1989.0
11,Chris Mullin,Bench,SG,14:00,1-4,0-0,2-2,3.2,2.0,0,2,2,0,0,1,0,4,1989.0
12,James Worthy,Bench,PF,18:00,4-7,0-1,0-0,8.2,0.0,2,2,2,0,2,0,0,8,1989.0
1,Alex English,Starter,SF,22:00,5-10,0-0,0-0,10.2,2.0,1,3,4,0,1,0,0,10,1988.0
2,Magic Johnson,Starter,PG,39:00,4-15,0-1,9-9,21.1,1.0,5,6,19,2,2,8,2,17,1988.0
3,Fat Lever,Starter,SG,31:00,7-14,0-0,3-4,9.0,0.0,4,4,3,4,0,0,0,17,1988.0
4,Karl Malone,Starter,PF,33:00,9-19,0-0,4-5,13.4,4.0,6,10,2,4,2,3,0,22,1988.0
5,Hakeem Olajuwon,Starter,C,28:00,8-13,0-0,5-7,17.6,7.0,2,9,2,3,2,4,2,21,1988.0
6,Mark Aguirre,Bench,SF,12:00,5-10,1-3,3-3,3.6,0.0,1,1,1,3,1,3,0,14,1988.0
7,Kareem Abdul-Jabbar,Bench,C,14:00,4-9,0-0,2-2,4.5,2.0,2,4,0,3,0,0,0,10,1988.0
8,James Donaldson,Bench,C,08:00,0-0,0-0,2-2,8.0,1.0,5,6,1,2,0,0,2,2,1988.0
9,Clyde Drexler,Bench,SF,15:00,3-5,0-1,6-6,8.8,2.0,3,5,0,3,1,1,0,12,1988.0
10,Xavier McDaniel,Bench,SF,13:00,1-9,0-0,0-0,-4.5,1.0,1,2,0,1,0,1,0,2,1988.0
11,Alvin Robertson,Bench,SG,12:00,1-3,0-0,0-0,0.2,0.0,0,0,1,1,2,2,0,2,1988.0
12,James Worthy,Bench,PF,13:00,2-8,0-0,0-1,1.6,1.0,2,3,1,1,0,0,1,4,1988.0
1,Larry Bird,Starter,SF,32:00,2-8,0-0,2-2,6.5,0.0,7,7,1,4,4,2,1,6,1988.0
2,Michael Jordan,Starter,SG,29:00,17-23,0-0,6-6,33.8,3.0,5,8,3,5,4,2,4,40,1988.0
3,Moses Malone,Starter,C,22:00,2-6,0-0,3-6,7.2,5.0,4,9,2,2,0,2,0,7,1988.0
4,Isiah Thomas,Starter,PG,28:00,4-10,0-0,0-0,11.8,1.0,1,2,15,1,1,6,0,8,1988.0
5,Dominique Wilkins,Starter,PF,30:00,12-22,0-0,5-6,13.8,1.0,4,5,0,3,0,0,1,29,1988.0
6,Danny Ainge,Bench,SG,19:00,4-11,3-4,1-2,7.0,1.0,2,3,2,1,1,1,0,12,1988.0
7,Charles Barkley,Bench,PF,15:00,1-4,0-1,2-2,0.8,1.0,2,3,0,2,1,3,1,4,1988.0
8,Mo Cheeks,Bench,PG,04:00,0-0,0-0,0-0,2.0,0.0,2,2,1,1,0,0,0,0,1988.0
9,Brad Daugherty,Bench,C,15:00,6-7,0-0,0-0,8.0,0.0,3,3,0,4,0,0,1,12,1988.0
10,Patrick Ewing,Bench,C,16:00,4-8,0-0,1-1,6.9,1.0,5,6,0,1,0,1,1,9,1988.0
11,Kevin McHale,Bench,PF,14:00,0-1,0-0,2-2,1.2,0.0,1,1,1,2,0,2,2,2,1988.0
12,Doc Rivers,Bench,SG,16:00,2-4,0-0,5-11,5.6,0.0,3,3,6,3,0,3,0,9,1988.0
1,Larry Bird,Starter,SF,35:00,7-18,0-3,4-4,10.5,2.0,4,6,5,5,2,2,0,18,1987.0
2,Julius Erving,Starter,SF,33:00,9-13,1-1,3-3,18.4,3.0,1,4,5,3,1,2,1,22,1987.0
3,Michael Jordan,Starter,SG,28:00,5-12,0-1,1-2,1.2,0.0,0,0,4,2,2,5,0,11,1987.0
4,Moses Malone,Starter,C,35:00,11-19,0-0,5-6,27.8,7.0,11,18,2,4,2,1,1,27,1987.0
5,Dominique Wilkins,Starter,PG,24:00,3-9,0-0,4-7,4.1,3.0,2,5,1,2,0,2,1,10,1987.0
6,Charles Barkley,Bench,PF,16:00,2-6,0-2,3-6,4.5,1.0,3,4,1,2,1,0,0,7,1987.0
7,Mo Cheeks,Bench,PG,08:00,1-2,0-0,2-2,1.2,0.0,0,0,0,1,1,1,0,4,1987.0
8,Bill Laimbeer,Bench,C,11:00,4-7,0-0,0-0,5.2,0.0,2,2,1,2,1,0,0,8,1987.0
9,Jeff Malone,Bench,SG,13:00,3-5,0-1,0-0,4.5,1.0,1,2,2,1,0,1,0,6,1987.0
10,Kevin McHale,Bench,PF,30:00,7-11,0-0,2-2,16.8,4.0,3,7,2,5,0,0,4,16,1987.0
11,Robert Parish,Bench,C,08:00,2-3,0-0,0-0,4.5,0.0,3,3,0,1,0,0,1,4,1987.0
12,Isiah Thomas,Bench,PG,24:00,4-6,0-0,8-9,13.4,2.0,1,3,9,3,0,5,0,16,1987.0
1,Tom Chambers,Starter,PF,29:00,13-25,2-3,6-9,16.1,3.0,1,4,2,5,4,3,0,34,1987.0
2,Magic Johnson,Starter,PG,34:00,4-10,0-0,1-2,21.2,1.0,6,7,13,2,4,1,0,9,1987.0
3,Hakeem Olajuwon,Starter,C,26:00,2-6,0-0,6-8,14.2,4.0,9,13,2,6,0,1,3,10,1987.0
4,Alvin Robertson,Starter,SG,16:00,2-5,0-0,2-2,3.0,2.0,0,2,1,1,0,1,0,6,1987.0
5,James Worthy,Starter,SF,29:00,10-14,0-0,2-2,18.8,6.0,2,8,3,3,1,2,0,22,1987.0
6,Mark Aguirre,Bench,SF,17:00,3-6,1-2,2-3,3.6,1.0,1,2,1,1,0,2,0,9,1987.0
7,Kareem Abdul-Jabbar,Bench,C,27:00,4-9,0-0,2-2,10.5,2.0,6,8,3,5,0,1,2,10,1987.0
8,Rolando Blackman,Bench,SF,22:00,9-15,0-0,11-13,14.1,1.0,3,4,1,2,0,2,0,29,1987.0
9,Joe Barry Carroll,Bench,C,18:00,1-7,0-0,2-2,1.5,4.0,2,6,0,4,0,1,1,4,1987.0
10,Walter Davis,Bench,SF,15:00,3-12,1-1,0-0,1.0,2.0,0,2,1,0,0,0,0,7,1987.0
11,Alex English,Bench,SF,13:00,0-6,0-0,0-0,-6.0,0.0,0,0,1,1,0,2,0,0,1987.0
12,Sleepy Floyd,Bench,SG,19:00,4-7,1-3,5-7,9.4,2.0,3,5,1,2,1,2,0,14,1987.0
1,Larry Bird,Starter,PF,35:00,8-18,2-4,5-6,19.2,2.0,6,8,5,5,7,4,0,23,1986.0
2,Julius Erving,Starter,SF,19:00,4-10,0-0,0-2,4.0,1.0,3,4,2,2,2,2,0,8,1986.0
3,Moses Malone,Starter,C,34:00,5-12,0-0,6-9,12.6,5.0,8,13,0,4,1,1,0,16,1986.0
4,Sidney Moncrief,Starter,SG,26:00,4-11,1-1,7-7,10.1,3.0,0,3,1,0,0,0,1,16,1986.0
5,Isiah Thomas,Starter,PG,36:00,11-19,0-1,8-9,22.1,0.0,1,1,10,2,5,5,0,30,1986.0
6,Mo Cheeks,Bench,PG,14:00,3-6,0-0,0-0,2.5,0.0,0,0,2,0,2,3,0,6,1986.0
7,Jeff Malone,Bench,SG,12:00,3-5,0-0,0-0,8.0,0.0,1,1,4,0,1,0,0,6,1986.0
8,Kevin McHale,Bench,PF,20:00,3-8,0-0,2-2,13.5,3.0,7,10,2,4,0,0,4,8,1986.0
9,Robert Parish,Bench,C,07:00,0-0,0-0,0-2,0.0,0.0,1,1,0,0,0,1,1,0,1986.0
10,Dominique Wilkins,Bench,SF,17:00,6-15,0-0,1-2,4.8,2.0,1,3,2,2,0,1,1,13,1986.0
11,Buck Williams,Bench,PF,20:00,5-8,0-0,3-5,14.1,3.0,4,7,4,0,0,1,0,13,1986.0
1,Kareem Abdul-Jabbar,Starter,PF,32:00,9-15,0-0,3-4,13.0,2.0,5,7,2,4,2,5,2,21,1986.0
2,Magic Johnson,Starter,PG,28:00,1-3,0-1,4-4,10.2,0.0,4,4,15,4,1,9,0,6,1986.0
3,Alvin Robertson,Starter,SG,20:00,2-6,0-0,0-0,7.0,1.0,8,9,5,1,0,4,0,4,1986.0
4,Ralph Sampson,Starter,C,21:00,7-11,0-0,2-2,7.2,1.0,3,4,1,4,0,2,0,16,1986.0
5,James Worthy,Starter,SF,28:00,10-19,0-2,0-0,10.0,2.0,1,3,2,3,0,1,2,20,1986.0
6,Rolando Blackman,Bench,C,22:00,6-11,0-0,0-0,16.5,1.0,3,4,8,1,2,1,1,12,1986.0
7,Adrian Dantley,Bench,SG,17:00,3-8,0-0,2-2,10.2,1.0,6,7,3,1,1,0,0,8,1986.0
8,Clyde Drexler,Bench,SF,15:00,5-7,0-1,0-0,11.2,0.0,4,4,4,3,3,3,1,10,1986.0
9,Alex English,Bench,SF,16:00,8-12,0-0,0-0,11.0,1.0,0,1,2,0,0,0,1,16,1986.0
10,Artis Gilmore,Bench,C,13:00,3-4,0-0,4-4,8.2,1.0,1,2,1,4,2,0,0,10,1986.0
11,Marques Johnson,Bench,SF,13:00,3-6,0-0,0-0,3.8,2.0,1,3,2,3,0,1,0,6,1986.0
12,Hakeem Olajuwon,Bench,C,15:00,1-8,0-0,1-2,0.8,1.0,4,5,0,3,1,1,2,3,1986.0
1,Kareem Abdul-Jabbar,Starter,SF,23:00,5-10,0-0,1-2,7.0,1.0,5,6,1,5,1,1,1,11,1985.0
2,Adrian Dantley,Starter,SG,23:00,2-6,0-0,6-6,2.8,0.0,2,2,1,4,1,2,0,10,1985.0
3,George Gervin,Starter,SF,25:00,10-12,0-0,3-4,14.8,0.0,3,3,1,2,3,4,1,23,1985.0
4,Magic Johnson,Starter,PG,31:00,7-14,0-0,7-8,23.8,2.0,3,5,15,2,1,3,0,21,1985.0
5,Ralph Sampson,Starter,C,29:00,10-15,0-0,4-6,17.2,3.0,7,10,1,5,0,1,1,24,1985.0
6,Rolando Blackman,Bench,SF,23:00,7-14,0-0,1-2,9.5,0.0,3,3,2,1,1,0,1,15,1985.0
7,Alex English,Bench,SF,14:00,0-3,0-0,0-0,-2.0,1.0,1,2,1,1,0,2,0,0,1985.0
8,Larry Nance,Bench,C,15:00,7-8,0-0,2-2,10.8,1.0,4,5,0,5,0,2,2,16,1985.0
9,Calvin Natt,Bench,SF,11:00,1-3,0-0,1-2,3.2,0.0,3,3,1,0,1,1,0,3,1985.0
10,Norm Nixon,Bench,PG,19:00,5-7,0-0,1-2,13.0,0.0,2,2,8,1,0,1,0,11,1985.0
11,Hakeem Olajuwon,Bench,C,15:00,2-2,0-0,2-6,9.0,2.0,3,5,1,1,0,0,2,6,1985.0
12,Jack Sikma,Bench,C,12:00,0-2,0-0,0-0,0.5,0.0,2,2,0,1,0,0,1,0,1985.0
1,Larry Bird,Starter,PF,31:00,8-16,0-1,5-6,11.5,5.0,3,8,2,3,0,4,1,21,1985.0
2,Julius Erving,Starter,SF,23:00,5-15,0-0,2-2,5.0,2.0,2,4,3,3,1,1,0,12,1985.0
3,Michael Jordan,Starter,SG,22:00,2-9,0-1,3-4,6.5,3.0,3,6,2,5,3,1,1,7,1985.0
4,Moses Malone,Starter,C,33:00,2-10,0-0,3-6,3.5,5.0,7,12,1,4,0,3,0,7,1985.0
5,Isiah Thomas,Starter,PG,25:00,9-14,3-4,1-1,17.9,1.0,1,2,5,2,2,1,0,22,1985.0
6,Terry Cummings,Bench,PF,16:00,7-17,0-0,3-4,9.5,4.0,3,7,0,1,0,0,1,17,1985.0
7,Dennis Johnson,Bench,SG,12:00,3-7,0-0,2-2,7.8,1.0,5,6,3,2,0,1,0,8,1985.0
8,Bernard King,Bench,SF,22:00,6-10,0-0,1-2,9.0,4.0,3,7,1,4,0,1,0,13,1985.0
9,Bill Laimbeer,Bench,PF,11:00,2-4,0-0,1-2,4.2,1.0,2,3,1,1,0,0,0,5,1985.0
10,Sidney Moncrief,Bench,SG,22:00,1-5,0-0,6-6,7.8,2.0,3,5,4,1,0,2,0,8,1985.0
11,Robert Parish,Bench,C,10:00,2-5,0-0,0-0,6.5,3.0,3,6,1,0,0,0,0,4,1985.0
12,Micheal Ray Richardson,Bench,SG,13:00,2-8,0-2,1-2,-0.2,2.0,0,2,1,3,2,2,0,5,1985.0
1,Larry Bird,Starter,PF,33:00,6-18,0-0,4-4,9.0,1.0,6,7,3,1,2,2,0,16,1984.0
2,Julius Erving,Starter,SG,36:00,14-22,0-0,6-8,27.5,4.0,4,8,5,4,2,1,2,34,1984.0
3,Sidney Moncrief,Starter,SG,26:00,3-6,0-0,2-2,8.2,1.0,4,5,2,3,5,4,0,8,1984.0
4,Robert Parish,Starter,C,28:00,5-11,0-0,2-4,15.0,4.0,11,15,2,1,3,4,0,12,1984.0
5,Isiah Thomas,Starter,PG,39:00,9-17,0-2,3-3,22.4,2.0,3,5,15,4,4,6,0,21,1984.0
6,Otis Birdsong,Bench,SG,12:00,1-5,0-0,0-0,1.5,2.0,1,3,1,1,0,0,0,2,1984.0
7,Bernard King,Bench,SF,22:00,8-13,0-0,2-5,12.1,2.0,1,3,4,2,0,0,0,18,1984.0
8,Bill Laimbeer,Bench,PF,17:00,6-8,0-0,1-1,11.1,1.0,4,5,0,3,0,0,2,13,1984.0
9,Kevin McHale,Bench,PF,11:00,3-7,0-0,4-6,6.2,2.0,3,5,0,1,2,2,0,10,1984.0
10,Jeff Ruland,Bench,C,13:00,2-3,0-0,2-2,5.2,1.0,3,4,2,2,0,2,0,6,1984.0
11,Andrew Toney,Bench,SG,22:00,6-11,0-0,1-1,9.4,0.0,0,0,3,0,2,0,0,13,1984.0
12,Kelly Tripucka,Bench,SF,06:00,0-0,0-0,1-2,1.8,0.0,0,0,2,1,2,2,0,1,1984.0
1,Kareem Abdul-Jabbar,Starter,C,37:00,11-19,0-0,3-4,16.8,5.0,8,13,2,5,0,4,1,25,1984.0
2,Adrian Dantley,Starter,SG,18:00,1-8,0-0,0-0,-3.5,0.0,2,2,1,4,1,1,0,2,1984.0
3,Alex English,Starter,SF,19:00,6-8,0-0,1-1,6.6,0.0,0,0,2,2,1,3,1,13,1984.0
4,George Gervin,Starter,PF,21:00,5-6,0-0,3-3,2.4,0.0,2,2,1,5,0,6,1,13,1984.0
5,Magic Johnson,Starter,PG,37:00,6-13,1-3,2-2,33.8,4.0,5,9,22,3,3,4,2,15,1984.0
6,Mark Aguirre,Bench,SF,13:00,5-8,0-0,3-4,8.0,1.0,0,1,2,1,1,2,1,13,1984.0
7,Walter Davis,Bench,SF,15:00,5-9,0-0,0-0,6.0,0.0,1,1,1,0,1,0,0,10,1984.0
8,Rickey Green,Bench,PG,19:00,3-8,0-0,0-0,7.5,0.0,0,0,11,1,1,4,0,6,1984.0
9,Jim Paxson,Bench,SF,14:00,5-9,0-0,0-0,7.8,1.0,2,3,2,0,0,0,0,10,1984.0
10,Ralph Sampson,Bench,C,16:00,4-7,0-0,1-2,2.0,1.0,4,5,0,4,0,3,0,9,1984.0
11,Jack Sikma,Bench,C,30:00,5-12,0-0,5-6,14.0,5.0,7,12,1,4,3,2,0,15,1984.0
12,Kiki Vandeweghe,Bench,SF,26:00,7-13,0-0,0-0,6.8,1.0,2,3,1,2,0,0,0,14,1984.0
1,Larry Bird,Starter,PF,29:00,7-14,0-1,0-0,16.0,3.0,10,13,7,4,2,5,0,14,1983.0
2,Mo Cheeks,Starter,SG,18:00,3-8,0-0,0-0,1.8,0.0,1,1,1,0,0,0,0,6,1983.0
3,Julius Erving,Starter,SF,28:00,11-19,0-0,3-3,18.4,3.0,3,6,3,1,1,2,2,25,1983.0
4,Moses Malone,Starter,C,24:00,3-8,0-0,4-6,10.8,2.0,6,8,3,1,0,1,1,10,1983.0
5,Isiah Thomas,Starter,PG,29:00,9-14,0-0,1-1,17.9,3.0,1,4,7,0,4,5,0,19,1983.0
6,Marques Johnson,Bench,SF,20:00,3-10,0-0,1-2,3.2,2.0,0,2,2,1,0,0,1,7,1983.0
