,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
5,Dwyane Wade,Starter,SG,24:00,5-12,0-0,0-0,5.0,0.0,0,0,3,0,6,5,0,10,2007.0
6,Chauncey Billups,Bench,PG,16:00,3-8,0-3,2-2,10.5,1.0,3,4,6,0,0,0,0,8,2007.0
7,Caron Butler,Bench,SF,16:00,1-7,0-0,0-0,0.5,3.0,1,4,1,0,0,1,0,2,2007.0
8,Vince Carter,Bench,SG,16:00,3-7,0-1,1-2,2.2,0.0,1,1,2,1,0,1,0,7,2007.0
9,Richard Hamilton,Bench,SG,15:00,4-8,0-1,0-0,5.5,2.0,4,6,1,1,0,2,0,8,2007.0
10,Dwight Howard,Bench,C,21:00,10-14,0-0,0-5,16.9,7.0,5,12,1,1,0,3,1,20,2007.0
11,Joe Johnson,Bench,SG,18:00,5-9,2-5,0-0,7.5,0.0,1,1,2,1,1,1,0,12,2007.0
12,Jermaine O'Neal,Bench,C,23:00,4-8,0-0,0-0,9.0,3.0,4,7,1,2,0,1,2,8,2007.0
1,Kobe Bryant,Starter,SG,28:00,13-24,3-9,2-2,21.2,1.0,4,5,6,0,4,6,1,31,2007.0
2,Tim Duncan,Starter,C,15:00,2-3,0-0,0-0,9.0,0.0,5,5,4,1,0,1,1,4,2007.0
3,Kevin Garnett,Starter,SF,14:00,3-8,0-0,1-2,8.2,4.0,2,6,4,1,1,2,0,7,2007.0
4,Tracy McGrady,Starter,PG,19:00,3-8,2-5,0-0,16.5,1.0,2,3,11,0,3,2,0,8,2007.0
5,Dirk Nowitzki,Starter,PF,16:00,4-9,1-2,0-0,8.5,2.0,3,5,2,0,0,0,0,9,2007.0
6,Ray Allen,Bench,SG,21:00,4-10,4-7,0-0,8.2,0.0,1,1,3,0,1,1,0,12,2007.0
7,Carmelo Anthony,Bench,SF,25:00,10-15,0-0,0-0,18.2,3.0,6,9,1,0,0,1,2,20,2007.0
8,Josh Howard,Bench,SF,20:00,1-3,0-1,1-2,8.2,1.0,3,4,3,0,1,0,1,3,2007.0
9,Shawn Marion,Bench,SF,22:00,9-15,0-1,0-0,18.0,5.0,3,8,4,0,2,2,0,18,2007.0
10,Mehmet Okur,Bench,PF,15:00,2-2,0-0,0-2,4.2,0.0,2,2,1,0,0,0,0,4,2007.0
11,Tony Parker,Bench,PG,24:00,4-7,0-0,0-0,17.2,0.0,2,2,10,0,4,1,0,8,2007.0
12,Amar'e Stoudemire,Bench,PF,21:00,14-22,0-1,1-1,27.4,6.0,3,9,3,2,1,1,5,29,2007.0
1,Vince Carter,Starter,SG,18:00,2-5,0-0,1-2,3.2,1.0,3,4,2,3,1,2,0,5,2006.0
2,Allen Iverson,Starter,PG,26:00,5-14,0-0,2-4,0.5,0.0,2,2,2,0,0,3,0,12,2006.0
3,LeBron James,Starter,PF,31:00,12-21,4-10,1-5,18.4,2.0,4,6,2,2,2,1,0,29,2006.0
4,Shaquille O'Neal,Starter,C,23:00,7-9,0-0,3-5,16.4,3.0,6,9,4,5,1,2,0,17,2006.0
5,Dwyane Wade,Starter,SG,31:00,9-11,0-0,2-2,17.2,3.0,1,4,3,1,2,3,1,20,2006.0
6,Gilbert Arenas,Bench,PG,10:00,0-4,0-2,1-2,-2.2,0.0,0,0,1,1,1,1,0,1,2006.0
7,Chauncey Billups,Bench,PG,16:00,6-10,2-5,1-1,14.6,0.0,4,4,7,1,0,2,0,15,2006.0
8,Chris Bosh,Bench,PF,16:00,3-7,0-0,2-3,8.6,2.0,6,8,2,1,0,1,0,8,2006.0
9,Richard Hamilton,Bench,SG,13:00,3-7,0-0,0-0,0.2,0.0,0,0,1,1,0,1,0,6,2006.0
10,Paul Pierce,Bench,SF,15:00,3-6,0-0,1-2,5.2,0.0,2,2,1,0,1,0,0,7,2006.0
11,Ben Wallace,Bench,C,24:00,0-1,0-0,0-2,10.0,0.0,8,8,2,3,3,0,2,0,2006.0
12,Rasheed Wallace,Bench,PF,17:00,1-6,0-4,0-0,-0.5,0.0,2,2,0,1,1,0,0,2,2006.0
1,Kobe Bryant,Starter,SG,26:00,4-11,0-5,0-0,10.5,0.0,7,7,8,5,3,3,0,8,2006.0
2,Tim Duncan,Starter,PF,21:00,6-7,0-0,3-3,14.6,6.0,4,10,1,2,1,5,1,15,2006.0
3,Tracy McGrady,Starter,SF,27:00,15-26,4-10,2-7,15.4,0.0,0,0,2,1,1,1,0,36,2006.0
4,Steve Nash,Starter,PG,28:00,1-2,0-0,0-0,8.5,1.0,4,5,6,2,1,2,0,2,2006.0
5,Yao Ming,Starter,C,19:00,2-5,0-0,1-2,3.0,0.0,2,2,1,2,1,0,0,5,2006.0
6,Ray Allen,Bench,SG,18:00,4-13,0-7,0-0,-1.2,0.0,2,2,1,2,0,1,0,8,2006.0
7,Elton Brand,Bench,PF,17:00,6-11,0-0,0-0,6.8,3.0,4,7,0,2,1,3,0,12,2006.0
8,Kevin Garnett,Bench,SF,17:00,1-9,0-0,0-0,5.0,2.0,7,9,4,1,1,2,0,2,2006.0
9,Pau Gasol,Bench,PF,14:00,0-3,0-0,0-0,7.8,6.0,6,12,1,1,0,1,0,0,2006.0
10,Shawn Marion,Bench,SF,17:00,5-9,0-0,4-7,13.1,4.0,4,8,0,1,1,0,1,14,2006.0
11,Dirk Nowitzki,Bench,PF,16:00,4-8,0-3,2-3,7.1,3.0,3,6,0,2,0,0,0,10,2006.0
12,Tony Parker,Bench,PG,20:00,3-8,0-1,2-2,-0.2,0.0,0,0,4,1,0,5,0,8,2006.0
1,Vince Carter,Starter,SF,18:00,4-8,3-5,0-0,6.2,0.0,3,3,1,0,0,2,0,11,2005.0
2,Grant Hill,Starter,PF,17:00,3-6,0-0,0-0,5.5,1.0,2,3,2,1,1,1,0,6,2005.0
3,Allen Iverson,Starter,PG,32:00,4-13,0-0,7-7,12.6,0.0,4,4,9,0,5,7,0,15,2005.0
4,LeBron James,Starter,SG,31:00,6-13,1-4,0-1,14.1,1.0,7,8,6,0,2,3,0,13,2005.0
5,Shaquille O'Neal,Starter,C,26:00,6-11,0-1,0-3,13.1,0.0,6,6,1,2,3,0,3,12,2005.0
6,Gilbert Arenas,Bench,PG,14:00,3-11,1-3,0-0,2.0,1.0,1,2,2,1,0,0,0,7,2005.0
7,Zydrunas Ilgauskas,Bench,C,17:00,5-8,0-0,2-2,12.2,3.0,4,7,1,2,0,1,2,12,2005.0
8,Antawn Jamison,Bench,SF,13:00,2-5,1-1,0-0,5.5,1.0,3,4,1,0,0,0,0,5,2005.0
9,Jermaine O'Neal,Bench,C,19:00,6-10,0-0,3-4,11.5,1.0,4,5,1,1,1,1,1,15,2005.0
10,Paul Pierce,Bench,SF,15:00,4-7,0-2,1-1,9.6,0.0,3,3,3,2,2,0,0,9,2005.0
11,Dwyane Wade,Bench,SG,24:00,6-13,0-1,2-2,8.2,2.0,1,3,1,2,2,1,1,14,2005.0
12,Ben Wallace,Bench,C,14:00,3-7,0-0,0-0,4.0,4.0,3,7,0,2,0,2,0,6,2005.0
1,Kobe Bryant,Starter,SG,29:00,7-14,2-5,0-0,15.2,3.0,3,6,7,5,3,4,1,16,2005.0
2,Tim Duncan,Starter,PF,17:00,7-10,1-1,0-1,14.4,2.0,7,9,2,0,0,2,0,15,2005.0
3,Kevin Garnett,Starter,PF,16:00,5-8,0-0,0-1,4.9,0.0,3,3,2,2,0,2,0,10,2005.0
4,Tracy McGrady,Starter,PG,24:00,4-13,0-4,0-0,8.8,1.0,4,5,5,1,3,3,2,8,2005.0
5,Yao Ming,Starter,C,21:00,5-9,0-0,1-2,14.8,3.0,5,8,5,1,0,1,1,11,2005.0
6,Ray Allen,Bench,SG,22:00,6-16,5-11,0-0,7.0,0.0,4,4,1,2,0,1,0,17,2005.0
7,Manu Ginobili,Bench,SG,22:00,3-6,0-2,2-2,4.0,2.0,1,3,1,3,1,3,1,8,2005.0
8,Rashard Lewis,Bench,SF,14:00,1-7,0-2,0-0,0.0,1.0,3,4,1,2,1,1,0,2,2005.0
9,Shawn Marion,Bench,SF,16:00,5-7,0-0,0-1,10.4,3.0,0,3,4,0,0,1,0,10,2005.0
10,Steve Nash,Bench,PG,18:00,1-2,0-1,0-0,3.5,0.0,0,0,6,0,0,3,0,2,2005.0
11,Dirk Nowitzki,Bench,PF,21:00,4-10,1-3,1-2,14.2,3.0,4,7,2,1,4,3,4,10,2005.0
12,Amar'e Stoudemire,Bench,PF,20:00,3-11,0-0,0-2,5.8,4.0,5,9,2,2,1,1,0,6,2005.0
1,Vince Carter,Starter,SF,16:00,5-7,1-3,0-0,7.0,1.0,1,2,0,1,2,2,0,11,2004.0
2,Allen Iverson,Starter,PG,23:00,1-6,0-0,1-4,3.2,0.0,1,1,11,3,0,4,0,3,2004.0
3,Tracy McGrady,Starter,SG,23:00,5-11,1-6,2-4,8.5,1.0,3,4,3,0,0,1,0,13,2004.0
